category,width,height,area,aspect_ratio
car,51.21182499999999,9.218129000000033,472.0772091754266,5.555555254216968
train,363.915519,25.237117000000012,9184.178531118729,14.419853068002967
truck,249.767376,36.73701900000003,9175.708837692153,6.79879268375041
traffic sign,151.54020000000003,24.491345,3711.4233195690003,6.187500114836488
traffic sign,81.12758199999999,13.776381000000015,1117.644479240743,5.888889251828902
car,35.70611399999984,6.612243999999976,236.0975380598141,5.399999455555478
traffic sign,224.164986,23.752582,5324.497211493852,9.437499721082954
traffic sign,79.07795299999998,15.376266999999984,1215.9237191414495,5.142857691011743
traffic sign,31.193851999999993,6.238770000000017,194.61126804204048,5.000000320575997
traffic sign,29.953798000000006,5.990758999999997,179.44598495268195,5.000000500771275
car,35.421204,192.964539,6835.036300684957,0.18356328154158938
traffic sign,17.61933399999998,2.936555999999996,51.74016097370387,5.999999318930068
car,90.05437599999993,14.193354,1278.173637817103,6.344827022562809
car,3.4964069999999765,26.223041999999992,91.68642761009336,0.13333338672149392
car,28.555927999999994,5.491525999999965,156.81562106612697,5.199998688889059
traffic sign,88.3637,10.483829000000014,926.3899206073012,8.428571278680707
car,109.3059310000001,19.980654000000015,2184.003987458878,5.47058825001424
person,30.37498000000005,330.749772,10046.517709504576,0.0918367375322032
bus,301.148588,25.707805000000008,7741.869176329343,11.714286303323053
truck,247.28461300000004,41.622162,10292.520222393308,5.941176553971416
car,10.12499200000002,87.74993900000004,888.4674303754902,0.11538460442690468
traffic sign,90.367389,6.612248999999999,597.5316775478609,13.66666454938403
person,22.459572999999864,228.33899000000002,5128.3962146512395,0.09836065667103047
traffic sign,89.43743900000004,16.87498800000003,1509.2557098757354,5.300000154074176
traffic sign,16.648226000000022,88.01565299999999,1465.3044826815797,0.18915074117555006
person,6.992811000000017,34.964057,244.49704239422758,0.19999998855968054
truck,68.58871900000001,618.2783049999999,42406.9169254413,0.11093502464072393
truck,53.57481800000005,272.46621700000003,14597.327986923521,0.1966292136687171
traffic light,3.1354839999999626,15.677421999999979,49.15630584224735,0.1999999744855989
traffic sign,8.185265000000015,1.0231579999999667,8.374819366869744,8.00000097736643
person,7.51370299999985,66.257191,497.8368547882631,0.11340207585920523
traffic sign,57.396686,11.229786999999988,644.5525582858813,5.1111108340701445
car,134.28947399999998,25.57894699999997,3434.983338103874,5.250000087962969
car,19.375403000000006,169.53476500000005,3284.8043943852967,0.11428572186949384
car,42.33031,7.986850000000004,338.08583642350015,5.300000626029032
car,71.88165400000001,11.181592000000023,803.7513273131698,6.428570636453187
traffic light,1.9577030000000377,10.767371000000026,21.079314508813457,0.18181810583103647
truck,194.649629,37.43262100000004,7286.245790147617,5.199999994657061
car,12.477540999999974,77.36075199999999,965.2719548708299,0.16129032716745018
traffic sign,22.952764000000002,3.991784999999993,91.62249904373985,5.750000062628634
truck,34.937113,296.965463,10375.115937928318,0.11764705783311911
traffic sign,18.71631100000002,3.7432620000000156,70.06005574648236,5.00000026714666
person,9.79345699999999,53.864011000000005,527.5148755760265,0.1818181902569415
person,16.170052,92.52862800000003,1496.1927262486563,0.17475728700959442
person,19.57703700000002,131.166154,2567.8446500057007,0.14925372440210466
car,8.999998000000005,80.99995899999999,728.9994690000823,0.11111114266119575
person,23.707326999999964,129.76642200000003,3076.4149999739902,0.18269230695133104
person,10.357019,121.49991500000004,1258.3769281533853,0.08524301436754088
person,52.312463,261.56232,13682.96918719416,0.19999999617681935
car,24.491344,156.13232500000004,3823.890481094801,0.15686273806529172
traffic light,3.0710869999999204,15.355439999999987,47.15789216327874,0.19999993487649478
person,22.885320999999976,121.30797700000005,2776.1719935056153,0.1886547081730657
traffic light,3.071089000000029,18.42652800000002,56.58950744899259,0.16666672093625157
traffic sign,24.568704000000004,4.606632000000047,113.17897804492918,5.33333333333328
traffic sign,53.999982000000045,8.099998999999999,437.3998002000183,6.666665267489546
bike,21.59999199999993,1.8000030000000038,38.88005039997596,11.999975555596231
bike,87.74996799999997,5.399999000000037,473.84973945003503,16.249997083332676
traffic light,9.687702,62.970054999999995,610.0351277636099,0.15384617339146361
person,47.013304000000005,240.943181,11327.535015080026,0.19512195283916337
traffic sign,191.23675500000002,33.07101900000001,6324.394358103347,5.782608482671791
traffic sign,2.4955070000000887,16.22080299999999,40.47912743212241,0.15384608271243355
car,48.66240800000001,6.238769999999988,303.59357115815953,7.800000320576028
traffic sign,354.37475600000005,53.999961,19136.22300338452,6.562500221064975
